Item ID,Item No.,Item Barcode,Name,Category,Supplier,Cost (Vat),Price,Image,Date Stamp
89a32729,8850485910149,8850485910149,กรองน้ำมันเครื่องPROSERV-PFO605,กรองน้ำมันเครื่อง,Shell,95,350,Item_Images/8850485910149.Image.054142.png,12/1/2564 9:10:00
342399cf,8850485910194,8850485910194,กรองน้ำมันเครื่องPROSEVR-PFO137,กรองน้ำมันเครื่อง,Shell,116,400,Item_Images/8850485910194.Image.054148.png,11/1/2564 14:52:00
1e5fb00d,8850485910224,8850485910224,กรองน้ำมันเครื่องPROSERV-PFO418,กรองน้ำมันเครื่อง,Shell,90,350,Item_Images/8850485910224.Image.054110.png,11/1/2564 14:51:00
c93d1b74,8855662006073,8855662006073,กรองน้ำมันเครื่องPROSERV-PFO321,กรองน้ำมันเครื่อง,Shell,122,400,Item_Images/8855662006073.Image.054104.png,12/1/2564 9:08:00
4d9b842d,8855662006370,8855662006370,กรองน้ำมันเครื่องPROSERV-PFO138,กรองน้ำมันเครื่อง,Shell,102,400,Item_Images/8855662006370.Image.054047.png,12/1/2564 9:33:00
62fe46f8,8855662006394,8855662006394,กรองน้ำมันเครื่องPROSERV-PFO258,กรองน้ำมันเครื่อง,Shell,107,400,Item_Images/8855662006394.Image.054058.png,12/1/2564 9:37:00
1eba7fe2,8855662006424,8855662006424,กรองน้ำมันเครื่องPROSERV-PFO432,กรองน้ำมันเครื่อง,Shell,72,350,Item_Images/8855662006424.Image.054114.png,12/1/2564 9:38:00
13af34f4,8859121601595,8859121601595,กรองน้ำมันเครื่องคอนเนอร์ISUZU4271,กรองน้ำมันเครื่อง,เจ๊จู,135,300,Item_Images/8859121601595.Image.061745.png,11/1/2564 14:23:00
d3a96dda,8859121602547,8859121602547,กรองน้ำมันเครื่องคอนเนอร์มิสซูบิชิ5737T,กรองน้ำมันเครื่อง,เจ๊จู,60,300,Item_Images/8859121602547.Image.061850.png,11/1/2564 15:00:00
fb2c2dde,8859121603209,8859121603209,กรองน้ำมันเครื่องHINO-1521,กรองน้ำมันเครื่อง,เจ๊จู,43,300,Item_Images/8859121603209.Image.060910.png,12/1/2564 9:19:00
b5fccf2f,8859121603292,8859121603292,กรองน้ำมันเครื่องHINO1731,กรองน้ำมันเครื่อง,เจ๊จู,425,300,Item_Images/8859121603292.Image.060852.png,12/1/2564 9:14:00
3557aca8,8971679720,8971679720,กรองน้ำมันเครื่องคอนเนอร์ISUZU7200,กรองน้ำมันเครื่อง,เจ๊จู,140,300,Item_Images/8971679720.Image.061749.png,11/1/2564 14:54:00
5b3252ca,8973099270,8973099270,กรองน้ำมันเครื่องISUZU270,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/8973099270.Image.060934.png,11/1/2564 13:09:00
9591fcee,8979125460,8979125460,กรองน้ำมันเครื่องISUZU5460,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/8979125460.Image.062352.png,11/1/2564 13:26:00
d13dc37e,89791254600,89791254600,กรองน้ำมันเครื่องISUZU7200,กรองน้ำมันเครื่อง,เจ๊จู,140,300,Item_Images/89791254600.Image.061031.png,11/1/2564 13:20:00
b817d747,8979406480,8979406480,กรองน้ำมันเครื่องISUZU710,กรองน้ำมันเครื่อง,เจ๊จู,130,300,Item_Images/8979406480.Image.060938.png,11/1/2564 13:18:00
ba305781,8982705240,8982705240,กรองน้ำมันเครื่องISUZU5240,กรองน้ำมันเครื่อง,เจ๊จู,200,300,Item_Images/8982705240.Image.060942.png,11/1/2564 13:28:00
